ds,y
2018-05-12-08,945200
2018-05-13-08,890097
2018-05-14-08,981463
2018-05-15-08,984224
2018-05-16-08,989619
2018-05-17-08,988908
2018-05-18-08,987216
2018-05-19-08,954924
2018-05-20-08,894740
2018-05-21-08,973597
2018-05-22-08,978668
2018-05-23-08,988654
2018-05-24-08,988092
2018-05-25-08,980584
2018-05-26-08,923756
2018-05-27-08,878717
2018-05-28-08,973942
2018-05-29-08,986924
2018-05-30-08,991931
2018-05-31-08,187411
2018-06-01-08,985098
2018-06-02-08,940389
2018-06-03-08,881916
2018-06-04-08,993274
2018-06-05-08,1003290
2018-06-06-08,1006989
2018-06-07-08,1004200
2018-06-08-08,1003220
2018-06-09-08,958740
2018-06-10-08,902641
2018-06-11-08,1001730
2018-06-12-08,1009049
2018-06-13-08,1011770
2018-06-14-08,1006142
2018-06-15-08,1004798
2018-06-16-08,961749
2018-06-17-08,885037
2018-06-18-08,984779
2018-06-19-08,996916
2018-06-20-08,999497
2018-06-21-08,988583
2018-06-22-08,975337
2018-06-23-08,941106
2018-06-24-08,880093
2018-06-25-08,979841
2018-06-27-08,980723
2018-06-28-08,995851
2018-06-29-08,994028
2018-06-30-08,959477
2018-07-01-08,896662
2018-07-02-08,997359
2018-07-03-08,1001172
2018-07-04-08,999815
2018-07-05-08,1003797
2018-07-06-08,996283
2018-07-07-08,953431
2018-07-08-08,894815
2018-07-09-08,1006349
2018-07-10-08,1017163
2018-07-11-08,1018537
2018-07-12-08,1017691
2018-07-13-08,1014110
2018-07-14-08,975791
2018-07-15-08,922863
2018-07-16-08,1022506
2018-07-17-08,1031003
2018-07-18-08,1038598
2018-07-19-08,1031224
2018-07-20-08,1031368
2018-07-21-08,945004
2018-07-22-08,904084
2018-07-23-08,1025558
2018-07-24-08,1044466
2018-07-25-08,1049538
2018-07-26-08,1036070
2018-07-27-08,1034294
2018-07-28-08,1003816
2018-07-29-08,945495
2018-07-30-08,1061143
2018-07-31-08,543297
2018-08-01-08,1068123
2018-08-02-08,1069335
2018-08-03-08,1075767
2018-08-04-08,1034508
2018-08-05-08,952116
2018-08-06-08,1087495
2018-08-07-08,1104229
2018-08-08-08,1099111
2018-08-09-08,1111715
